Year,Units,Series,Type of area,Federal state,GeoCode,Value
2030,Hectre per day,Calculated annual values,,,,
1996,Hectre per day,Calculated annual values,Transport area,,,23.614
1997,Hectre per day,Calculated annual values,Transport area,,,20.642
1998,Hectre per day,Calculated annual values,Transport area,,,23.302
1999,Hectre per day,Calculated annual values,Transport area,,,23.308
2000,Hectre per day,Calculated annual values,Transport area,,,24.0
2001,Hectre per day,Calculated annual values,Transport area,,,23.0
2002,Hectre per day,Calculated annual values,Transport area,,,22.0
2003,Hectre per day,Calculated annual values,Transport area,,,20.0
2004,Hectre per day,Calculated annual values,Transport area,,,25.0
2005,Hectre per day,Calculated annual values,Transport area,,,25.0
2006,Hectre per day,Calculated annual values,Transport area,,,24.0
2007,Hectre per day,Calculated annual values,Transport area,,,24.0
2008,Hectre per day,Calculated annual values,Transport area,,,21.0
2009,Hectre per day,Calculated annual values,Transport area,,,18.0
2010,Hectre per day,Calculated annual values,Transport area,,,21.0
2011,Hectre per day,Calculated annual values,Transport area,,,17.0
2012,Hectre per day,Calculated annual values,Transport area,,,11.0
2013,Hectre per day,Calculated annual values,Transport area,,,19.0
2014,Hectre per day,Calculated annual values,Transport area,,,23.0
2015,Hectre per day,Calculated annual values,Transport area,,,10.0
2016,Hectre per day,Calculated annual values,Transport area,,,
2017,Hectre per day,Calculated annual values,Transport area,,,8.0
2018,Hectre per day,Calculated annual values,Transport area,,,16.0
2019,Hectre per day,Calculated annual values,Transport area,,,2.0
2020,Hectre per day,Calculated annual values,Transport area,,,6.0
2021,Hectre per day,Calculated annual values,Transport area,,,8.0
2022,Hectre per day,Calculated annual values,Transport area,,,
1996,Hectre per day,Calculated annual values,Settlement area (built on),,,87.201
1997,Hectre per day,Calculated annual values,Settlement area (built on),,,83.405
1998,Hectre per day,Calculated annual values,Settlement area (built on),,,86.759
1999,Hectre per day,Calculated annual values,Settlement area (built on),,,86.781
2000,Hectre per day,Calculated annual values,Settlement area (built on),,,87.0
2001,Hectre per day,Calculated annual values,Settlement area (built on),,,70.0
2002,Hectre per day,Calculated annual values,Settlement area (built on),,,66.0
2003,Hectre per day,Calculated annual values,Settlement area (built on),,,45.0
2004,Hectre per day,Calculated annual values,Settlement area (built on),,,60.0
2005,Hectre per day,Calculated annual values,Settlement area (built on),,,35.0
2006,Hectre per day,Calculated annual values,Settlement area (built on),,,30.0
2007,Hectre per day,Calculated annual values,Settlement area (built on),,,40.0
2008,Hectre per day,Calculated annual values,Settlement area (built on),,,35.0
2009,Hectre per day,Calculated annual values,Settlement area (built on),,,28.0
2010,Hectre per day,Calculated annual values,Settlement area (built on),,,33.0
2011,Hectre per day,Calculated annual values,Settlement area (built on),,,30.0
2012,Hectre per day,Calculated annual values,Settlement area (built on),,,40.0
2013,Hectre per day,Calculated annual values,Settlement area (built on),,,29.0
2014,Hectre per day,Calculated annual values,Settlement area (built on),,,22.0
2015,Hectre per day,Calculated annual values,Settlement area (built on),,,40.0
2016,Hectre per day,Calculated annual values,Settlement area (built on),,,
2017,Hectre per day,Calculated annual values,Settlement area (built on),,,32.0
2018,Hectre per day,Calculated annual values,Settlement area (built on),,,32.0
2019,Hectre per day,Calculated annual values,Settlement area (built on),,,33.0
2020,Hectre per day,Calculated annual values,Settlement area (built on),,,40.0
2021,Hectre per day,Calculated annual values,Settlement area (built on),,,39.0
2022,Hectre per day,Calculated annual values,Settlement area (built on),,,
1996,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,8.693
1997,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,20.204
1998,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,20.561
1999,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,20.566
2000,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,21.0
2001,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,29.0
2002,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,21.0
2003,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,34.0
2004,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,46.0
2005,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,57.0
2006,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,52.0
2007,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,33.0
2008,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,39.0
2009,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,32.0
2010,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,23.0
2011,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,27.0
2012,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,18.0
2013,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,23.0
2014,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,18.0
2015,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,12.0
2016,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,
2017,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,15.0
2018,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,10.0
2019,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,10.0
2020,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,12.0
2021,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,11.0
2022,Hectre per day,Calculated annual values,"Recreation area, cemetery",,,
1996,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,10.0
2000,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,12.0
2004,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,10.0
2005,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,10.0
2006,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,9.0
2007,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,9.0
2008,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,9.0
2009,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,9.0
2010,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,8.0
2011,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,7.0
2012,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,7.0
2013,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,6.0
2014,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,6.0
2015,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,6.0
2019,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,5.0
2020,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,6.0
2021,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,5.0
2022,Hectre per day,Calculated annual values,,Baden-Wuerttemberg,code08,5.0
1996,Hectre per day,Calculated annual values,,Bavaria,code09,27.0
2000,Hectre per day,Calculated annual values,,Bavaria,code09,28.0
2004,Hectre per day,Calculated annual values,,Bavaria,code09,18.0
2005,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2006,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2007,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2008,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2009,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2010,Hectre per day,Calculated annual values,,Bavaria,code09,17.0
2011,Hectre per day,Calculated annual values,,Bavaria,code09,18.0
2012,Hectre per day,Calculated annual values,,Bavaria,code09,18.0
2013,Hectre per day,Calculated annual values,,Bavaria,code09,19.0
2015,Hectre per day,Calculated annual values,,Bavaria,code09,12.0
2018,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
2019,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
2020,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
2021,Hectre per day,Calculated annual values,,Bavaria,code09,11.0
1996,Hectre per day,Calculated annual values,,Berlin,code11,-1.0
2000,Hectre per day,Calculated annual values,,Berlin,code11,1.0
2004,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2005,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2006,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2007,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2008,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2009,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2010,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2011,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2012,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2013,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2014,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2015,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2016,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2017,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2018,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2019,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2020,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2021,Hectre per day,Calculated annual values,,Berlin,code11,0.0
2022,Hectre per day,Calculated annual values,,Berlin,code11,0.0
1996,Hectre per day,Calculated annual values,,Brandenburg,code12,7.0
2000,Hectre per day,Calculated annual values,,Brandenburg,code12,9.0
2004,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2005,Hectre per day,Calculated annual values,,Brandenburg,code12,9.0
2006,Hectre per day,Calculated annual values,,Brandenburg,code12,9.0
2007,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2008,Hectre per day,Calculated annual values,,Brandenburg,code12,10.0
2009,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2010,Hectre per day,Calculated annual values,,Brandenburg,code12,8.0
2011,Hectre per day,Calculated annual values,,Brandenburg,code12,7.0
2012,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
2013,Hectre per day,Calculated annual values,,Brandenburg,code12,6.0
2014,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
2015,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
2016,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
2017,Hectre per day,Calculated annual values,,Brandenburg,code12,2.0
2018,Hectre per day,Calculated annual values,,Brandenburg,code12,2.0
2019,Hectre per day,Calculated annual values,,Brandenburg,code12,1.0
2020,Hectre per day,Calculated annual values,,Brandenburg,code12,3.0
2021,Hectre per day,Calculated annual values,,Brandenburg,code12,4.0
2022,Hectre per day,Calculated annual values,,Brandenburg,code12,5.0
1996,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2000,Hectre per day,Calculated annual values,,Bremen,code04,1.0
2004,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2005,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2006,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2007,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2008,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2009,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2010,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2011,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2012,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2013,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2014,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2015,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2016,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2017,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2018,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2019,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2020,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2021,Hectre per day,Calculated annual values,,Bremen,code04,0.0
2022,Hectre per day,Calculated annual values,,Bremen,code04,0.0
1996,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2000,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2004,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2005,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2006,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2007,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2008,Hectre per day,Calculated annual values,,Hamburg,code02,1.0
2009,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2010,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2011,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2012,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2013,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2014,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2015,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2016,Hectre per day,Calculated annual values,,Hamburg,code02,-1.0
2017,Hectre per day,Calculated annual values,,Hamburg,code02,-1.0
2018,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2019,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2020,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2021,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
2022,Hectre per day,Calculated annual values,,Hamburg,code02,0.0
1996,Hectre per day,Calculated annual values,,Hesse,code06,5.0
2000,Hectre per day,Calculated annual values,,Hesse,code06,5.0
2004,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2005,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2006,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2007,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2008,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2009,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2010,Hectre per day,Calculated annual values,,Hesse,code06,4.0
2011,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2012,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2013,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2014,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2015,Hectre per day,Calculated annual values,,Hesse,code06,3.0
2021,Hectre per day,Calculated annual values,,Hesse,code06,2.0
1996,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,6.0
2000,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2004,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,9.0
2005,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,9.0
2006,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2007,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2008,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2009,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2010,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,8.0
2011,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2012,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,5.0
2013,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,4.0
2014,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,3.0
2015,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,3.0
2016,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,7.0
2017,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,4.0
2018,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,4.0
2019,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,3.0
2020,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,-2.0
2021,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,1.0
2022,Hectre per day,Calculated annual values,,Mecklenburg Western Pomerania,code13,1.0
1996,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.0
2000,Hectre per day,Calculated annual values,,Lower Saxony,code03,16.0
2004,Hectre per day,Calculated annual values,,Lower Saxony,code03,14.0
2005,Hectre per day,Calculated annual values,,Lower Saxony,code03,14.0
2006,Hectre per day,Calculated annual values,,Lower Saxony,code03,14.0
2007,Hectre per day,Calculated annual values,,Lower Saxony,code03,14.0
2008,Hectre per day,Calculated annual values,,Lower Saxony,code03,12.0
2009,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2010,Hectre per day,Calculated annual values,,Lower Saxony,code03,9.0
2011,Hectre per day,Calculated annual values,,Lower Saxony,code03,11.0
2012,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2013,Hectre per day,Calculated annual values,,Lower Saxony,code03,11.0
2014,Hectre per day,Calculated annual values,,Lower Saxony,code03,11.0
2015,Hectre per day,Calculated annual values,,Lower Saxony,code03,10.0
2016,Hectre per day,Calculated annual values,,Lower Saxony,code03,8.0
2017,Hectre per day,Calculated annual values,,Lower Saxony,code03,7.0
2018,Hectre per day,Calculated annual values,,Lower Saxony,code03,6.0
2019,Hectre per day,Calculated annual values,,Lower Saxony,code03,5.0
2020,Hectre per day,Calculated annual values,,Lower Saxony,code03,7.0
2021,Hectre per day,Calculated annual values,,Lower Saxony,code03,6.0
2022,Hectre per day,Calculated annual values,,Lower Saxony,code03,6.0
1996,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,16.0
2000,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,17.0
2004,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,15.0
2005,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,15.0
2006,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,14.0
2007,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,15.0
2008,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,14.0
2009,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,13.0
2010,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,13.0
2011,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,11.0
2012,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2013,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2014,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2015,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,10.0
2021,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,6.0
2022,Hectre per day,Calculated annual values,,North Rhine-Westphalia,code05,6.0
1996,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2000,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2004,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,6.0
2005,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,7.0
2006,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,7.0
2007,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,7.0
2008,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,5.0
2009,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,4.0
2010,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2011,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2012,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2013,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2014,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2015,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2016,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2017,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,0.0
2018,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2019,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,1.0
2020,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,2.0
2021,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,4.0
2022,Hectre per day,Calculated annual values,,Rhineland Palatinate,code07,6.0
1996,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2000,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2004,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2005,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2006,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2007,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2008,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2009,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2010,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2011,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2012,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2013,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2014,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2015,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2016,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2017,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2018,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2019,Hectre per day,Calculated annual values,,Saarland,code10,1.0
2020,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2021,Hectre per day,Calculated annual values,,Saarland,code10,0.0
2022,Hectre per day,Calculated annual values,,Saarland,code10,1.0
1996,Hectre per day,Calculated annual values,,Saxony,code14,9.0
2000,Hectre per day,Calculated annual values,,Saxony,code14,8.0
2004,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2005,Hectre per day,Calculated annual values,,Saxony,code14,4.0
2006,Hectre per day,Calculated annual values,,Saxony,code14,4.0
2007,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2008,Hectre per day,Calculated annual values,,Saxony,code14,6.0
2009,Hectre per day,Calculated annual values,,Saxony,code14,8.0
2010,Hectre per day,Calculated annual values,,Saxony,code14,9.0
2011,Hectre per day,Calculated annual values,,Saxony,code14,8.0
2012,Hectre per day,Calculated annual values,,Saxony,code14,7.0
2013,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2020,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2021,Hectre per day,Calculated annual values,,Saxony,code14,5.0
2022,Hectre per day,Calculated annual values,,Saxony,code14,5.0
1996,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,9.0
2000,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,10.0
2004,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,13.0
2005,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,16.0
2006,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,18.0
2007,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,16.0
2008,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,10.0
2009,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,4.0
2010,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2011,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2012,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,-1.0
2013,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,-1.0
2014,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,0.0
2015,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2016,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2017,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2018,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2019,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2020,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2021,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
2022,Hectre per day,Calculated annual values,,Saxony-Anhalt,code15,1.0
1996,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2000,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2004,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,8.0
2008,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,5.0
2009,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,5.0
2010,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2011,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2012,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2013,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2014,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2015,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2016,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,2.0
2017,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2018,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,3.0
2019,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,2.0
2020,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2021,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
2022,Hectre per day,Calculated annual values,,Schleswig-Holstein,code01,4.0
1996,Hectre per day,Calculated annual values,,Thuringia,code16,6.0
2000,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2004,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2005,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2006,Hectre per day,Calculated annual values,,Thuringia,code16,1.0
2007,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2008,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2009,Hectre per day,Calculated annual values,,Thuringia,code16,2.0
2010,Hectre per day,Calculated annual values,,Thuringia,code16,3.0
2011,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2012,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2013,Hectre per day,Calculated annual values,,Thuringia,code16,4.0
2014,Hectre per day,Calculated annual values,,Thuringia,code16,5.0
2015,Hectre per day,Calculated annual values,,Thuringia,code16,5.0
2016,Hectre per day,Calculated annual values,,Thuringia,code16,6.0
2022,Hectre per day,Calculated annual values,,Thuringia,code16,1.0
